,precision,recall,f1-score,support
blues,0.8418367346938775,0.7932692307692307,0.8168316831683168,208.0
classical,0.8985507246376812,0.916256157635468,0.9073170731707317,203.0
country,0.7839195979899497,0.8387096774193549,0.8103896103896104,186.0
disco,0.7736842105263158,0.7386934673366834,0.7557840616966581,199.0
hiphop,0.8840579710144928,0.8394495412844036,0.8611764705882353,218.0
jazz,0.824390243902439,0.8802083333333334,0.8513853904282116,192.0
metal,0.8829268292682927,0.8872549019607843,0.8850855745721271,204.0
pop,0.8341708542713567,0.9222222222222223,0.8759894459102903,180.0
reggae,0.835820895522388,0.7962085308056872,0.8155339805825242,211.0
rock,0.7195767195767195,0.6903553299492385,0.7046632124352331,197.0
accuracy,0.8293293293293293,0.8293293293293293,0.8293293293293293,0.8293293293293293
macro avg,0.8278934781403512,0.8302627392716406,0.828415650294194,1998.0
weighted avg,0.8291642918921345,0.8293293293293293,0.8286057044756971,1998.0
