Model Name,Train Accuracy,Test Accuracy,F1 Macro
logistic_regression(3sec),0.7178428428428428,0.7187187187187187,0.7141589007235327
neural_network(3sec),0.9296796917915344,0.8403403162956238,0.8397150869402387
logistic_regression(30sec),0.865,0.685,0.7003811037991997
neural_network(30sec),0.9937499761581421,0.7099999785423279,0.712846949675951
CNN,0.9987484355444305,0.715,0.7133897694690494
