,precision,recall,f1-score,support
blues,0.6622807017543859,0.7259615384615384,0.6926605504587156,208.0
classical,0.8812785388127854,0.9507389162561576,0.9146919431279621,203.0
country,0.5978260869565217,0.5913978494623656,0.5945945945945946,186.0
disco,0.6649746192893401,0.6582914572864321,0.6616161616161617,199.0
hiphop,0.7031963470319634,0.7064220183486238,0.7048054919908466,218.0
jazz,0.722488038277512,0.7864583333333334,0.7531172069825436,192.0
metal,0.8264840182648402,0.8872549019607843,0.8557919621749409,204.0
pop,0.8010471204188482,0.85,0.8247978436657682,180.0
reggae,0.6910112359550562,0.5829383886255924,0.6323907455012854,211.0
rock,0.577922077922078,0.4517766497461929,0.5071225071225072,197.0
accuracy,0.7187187187187187,0.7187187187187187,0.7187187187187187,0.7187187187187187
macro avg,0.7128508784683331,0.7191240053481021,0.7141589007235327,1998.0
weighted avg,0.7130326723209388,0.7187187187187187,0.7140344965208628,1998.0
